Format of a line is:
#number[TAB]name[TAB]   # optional comment
#

# Objects
1000	GRATE
1001	STEPS
1002	DOOR
1003	SNAKE
1004	FISSURE
1005	TABLET
1006	MIRROR
1007	PLANT
1008	PLANT2
1009	STALACTITE
1010	FOG
1011	GLOW
1012	SHADOW
1013	BLOB	# Rover, to all you "The Prisoner" fans
1014	DRAWING
1015	PIRATE
1016	DRAGON
1017	CHASM
1018	TROLL
1019	TROLL2
1020	OGRE
1021	BASILISK
1022	GONG
1023	DJINN
1024	TURTLE
1025	MESSAGE
1026	VOLCANO
1027	STATUE
1028	QUICKSAND
1029	SLIME
1030	MACHINE
1031	SAFE
1032	THRONE
1033	SKELETON
1034	BEAR
1035	BATTERIES
1036	CARPET
1037	DINGHY
1038	BAG
1039	CROWN
1040	GOLD
1041	DIAMONDS
1042	SILVER
1043	JEWELRY
1044	COINS
1045	CHEST
1046	EGGS
1047	TRIDENT
1048	HELMET
1049	VASE
1050	POTTERY
1051	EMERALD
1052	SCEPTRE
1053	YACHT
1054	PYRAMID
1055	PEARL
1056	RUG
1057	SPICES
1058	BEADS
1059	CHAIN
1060	RING
1061	SPYGLASS
1062	X.DISK		# New in B02
1063	X.STAMP		# New in B02
1064	SCULPTURE
1065	BRACELET
1066	CASKET
1067	KEYS
1068	LAMP
1069	CAGE
1070	BIRD
1071	ROD
1072	PLATE
1073	DYNAMITE
1074	PILLOW
1075	CLAM
1076	OYSTER
1077	MAGAZINES
1078	DWARF
1079	KNIFE
1080	FOOD
1081	BOTTLE
1082	FLASK
1083	WATER
1084	OIL
1085	AXE
1086	SWORD
1087	TEETH
1088	VIAL
1089	MUSHROOM
1090	GOBLINS
1091	X.ELEVATOR	# From here on, new in B02
1092	X.BUTTON
1093	X.BOX
1094	X.PLASTIC
1095	X.ID.CARD
1096	X.COMPUTER
1097	X.MONITOR
1098	X.POSTER
1099	X.NOTICEBOARD
1100	X.DESK
1101	X.PANEL
1102	X.SUCTION.CUPS
1103	X.FLOOR
1104	X.RIFT
#
# Places
#
2000	ROAD
2001	HILL
2002	BUILDING
2003	VALLEY
2004	FOREST
2005	FOREST2
2006	SLIT
2007	FAKE.SLIT
2008	DEPRESSION
2009	INCAVE
2010	COBBLES
2011	DEBRIS
2012	CANYON
2013	BIRDCHAMBER
2014	PIT
2015	MISTS
2016	EASTOFFISSURE
2017	WESTOFFISSURE
2018	GOLDROOM
2019	MTKING
2020	WEND2PIT
2021	EEND2PIT
2022	EASTPIT
2023	WESTPIT
2024	LOWNSPASSAGE
2025	SOUTHSIDE
2026	WESTSIDE
2027	Y2
2028	Y2?
2029	FAKE.JUMBLE
2030	JUMBLE
2031	WINDOW
2032	WINDOW2
2033	DIRTY
2034	BRINK
2035	STREAMPIT
2036	DUSTY
2037	WENDMISTS
2038	MAZEA.42	# Strange ordering which I *think* appears in
2039	MAZEA.43	# version B02 - keeps "maze" and "dead end" rooms
2040	MAZEA.44	# together which the reference ADV550 doesn't.
2041	MAZEA.45
2042	MAZEA.49
2043	MAZEA.50
2044	MAZEA.51
2045	MAZEA.52
2046	MAZEA.53
2047	MAZEA.55
2048	MAZEA.80
2049	MAZEA.83
2050	MAZEA.84
2051	MAZEA.87
2052	MAZEA.46
2053	MAZEA.47
2054	MAZEA.48
2055	MAZEA.54
2056	MAZEA.56
2057	MAZEA.58
2058	MAZEA.81
2059	MAZEA.82
2060	MAZEA.85
2061	MAZEA.86
2062	MAZEA.114
2063	MAZED.140
2064	MAZEA.57.PIT
2065	LONGHALLEAST
2066	LONGHALLWEST
2067	CROSSOVER
2068	DEADEND1
2069	COMPLEX
2070	BEDQUILT
2071	SWISS
2072	SLAB
2073	SECRETNSCYN
2074	SECRETNSCPAS
2075	SECRETJUNCTION
2076	LOW
2077	DEADEND2
2078	SECRETEW.TITE
2079	NSCANYONWIDE
2080	TIGHTERSTILL
2081	TALLEWCNYN
2082	DEADEND3
2083	NARROWCORRIDOR
2084	INCLINE
2085	GIANT
2086	IMMENSENSPASS
2087	CAVERN
2088	SOFT
2089	ORIENTAL
2090	MISTY
2091	ALCOVE
2092	PLOVER
2093	DARK
2094	ARCHED
2095	SHELL
2096	RAGGEDCORRID
2097	CULDESAC
2098	ANTEROOM
2099	MAZED.107
2100	WITTSEND
2101	MIRRORCNYN
2102	STALACT
2103	MAZED.112
2104	RESERVOIR
2105	RESERVOIR.N
2106	WARM
2107	BALCONY
2108	CYLINDRICAL
2109	TREASUREROOM
2110	SWOFCHASM
2111	NEOFCHASM
2112	SLOPING
2113	SECRETCYNNE1
2114	SECRETCYNNE2
2115	CORRIDOR
2116	FORK
2117	WARMJUNCTN
2118	BREATHTAKER
2119	FACES
2120	BY.FIGURE
2121	PLAIN.1
2122	PLAIN.2
2123	PLAIN.3
2124	NONDESCRIPT
2125	PENTAGRAM
2126	CHIMNEY
2127	TUBE
2128	TUBE.SLIDE
2129	BASQUE.1
2130	BASQUE.2
2131	BASQUE.FORK
2132	ON.STEPS
2133	STEPS.EXE
2134	STORAGE
